status,course,gender,marital_status,attendance,scholarship_holder,tuition_up_to_date,debtor,displaced,international,age_at_enrollment,age_group,admission_grade,prev_qualification_grade,units_1st_sem_enrolled,units_1st_sem_approved,grade_1st_sem,units_2nd_sem_enrolled,units_2nd_sem_approved,grade_2nd_sem,approval_ratio_2nd_sem,is_dropout,dropout_risk_score
Dropout,Veterinary Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,29,25-29,140.0,140.0,6,0,0.0,6,0,0.0,0.0,1,0.998
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,131.5,140.0,8,8,13.25375,8,8,13.25375,1.0,0,0.018
Graduate,Oral Hygiene,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,112.2,115.0,7,7,13.785714285714286,8,8,14.1,1.0,0,0.041
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,No,No,20,17-20,150.5,144.0,7,6,13.916666666666666,7,6,13.916666666666666,0.857,0,0.052
Graduate,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,121.0,128.0,6,6,13.5,6,6,13.571428571428571,1.0,0,0.069
Enrolled,Management,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,112.2,116.0,5,3,11.333333333333334,5,2,10.666666666666666,0.4,0,0.906
Dropout,Veterinary Nursing,Female,Widower,Daytime,No,Yes,No,Yes,No,21,21-24,129.4,135.0,5,0,0.0,5,0,0.0,0.0,1,0.98
Graduate,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,114.4,121.0,6,5,11.5,6,4,14.6,0.667,0,0.268
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,120.3,134.0,8,7,12.082857142857142,8,7,12.082857142857142,0.875,0,0.036
Graduate,Social Service (evening),Female,Single,Evening,Yes,Yes,No,No,No,27,25-29,120.0,120.0,6,6,11.833333333333334,6,5,12.8,0.833,0,0.052
Graduate,Management,Female,Single,Daytime,Yes,Yes,No,Yes,No,19,17-20,114.5,125.0,5,5,13.4,5,5,12.4,1.0,0,0.064
Dropout,Nursing,Female,Single,Daytime,Yes,Yes,No,No,No,19,17-20,127.8,141.0,7,0,0.0,7,0,0.0,0.0,1,0.988
Graduate,Journalism & Communication,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,124.6,140.0,6,5,14.2,6,6,14.571428571428571,1.0,0,0.097
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,130.3,144.0,8,7,13.814285714285717,8,7,13.814285714285717,0.875,0,0.038
Enrolled,Tourism,Female,Single,Daytime,Yes,Yes,No,No,No,20,17-20,118.2,122.0,6,4,11.25,6,6,10.5,1.0,0,0.099
Graduate,Advertising & Marketing,Female,Single,Daytime,Yes,Yes,No,No,No,18,17-20,118.8,130.0,6,6,14.5,6,6,13.666666666666666,1.0,0,0.017
Dropout,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,133.0,133.1,6,0,0.0,6,0,0.0,0.0,1,0.998
Graduate,Nursing,Female,Married,Daytime,No,Yes,No,Yes,No,36,30-39,129.0,133.1,7,6,11.3,7,6,11.3,0.857,0,0.107
Enrolled,Oral Hygiene,Female,Single,Daytime,No,Yes,No,No,No,18,17-20,100.0,147.0,2,0,0.0,4,1,16.0,0.25,0,0.819
Enrolled,Equinculture,Female,Single,Daytime,No,Yes,Yes,Yes,No,18,17-20,120.7,127.0,5,1,12.0,5,3,12.0,0.6,0,0.967
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,132.5,136.0,8,7,12.3,8,7,12.3,0.875,0,0.078
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,120.3,127.0,8,7,12.694285714285714,8,7,12.694285714285714,0.875,0,0.041
Graduate,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,No,No,18,17-20,114.6,123.0,5,4,11.0,5,4,11.0,0.8,0,0.245
Graduate,Social Service,Female,Single,Daytime,Yes,Yes,No,Yes,No,19,17-20,116.5,128.0,6,6,13.0,6,6,14.166666666666666,1.0,0,0.027
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,No,No,19,17-20,127.8,128.0,7,7,14.4125,8,8,16.05,1.0,0,0.008
Dropout,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,129.9,140.0,7,7,12.92875,8,8,14.0625,1.0,1,0.021
Graduate,Journalism & Communication,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,118.9,121.0,6,6,13.333333333333334,6,5,12.8,0.833,0,0.144
Enrolled,Tourism,Female,Single,Daytime,Yes,Yes,No,Yes,No,20,17-20,114.3,122.0,6,5,12.8,6,5,12.8,0.833,0,0.132
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,114.8,126.0,8,7,14.402857142857142,8,7,14.402857142857142,0.875,0,0.072
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,123.0,135.0,8,7,13.381428571428572,8,7,13.381428571428572,0.875,0,0.035
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,122.1,131.0,7,7,14.13125,8,8,13.98375,1.0,0,0.025
Graduate,Veterinary Nursing,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,123.7,140.0,5,5,11.714285714285714,5,5,12.6,1.0,0,0.036
Enrolled,Management,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,132.4,131.0,5,5,11.8,5,4,11.25,0.8,0,0.167
Graduate,Social Service (evening),Female,Married,Evening,No,Yes,No,No,No,44,40+,114.8,130.0,6,6,11.166666666666666,6,2,11.0,0.333,0,0.514
Dropout,Agronomy,Female,Single,Daytime,No,Yes,No,No,No,32,30-39,130.0,130.0,6,0,0.0,6,0,0.0,0.0,1,0.999
Dropout,Basic Education,Female,Single,Daytime,No,Yes,No,No,No,22,21-24,122.3,140.0,6,5,13.6,6,5,12.0,0.833,1,0.266
Graduate,Agronomy,Female,Married,Daytime,No,Yes,No,Yes,No,36,30-39,152.4,130.0,12,12,13.846153846153848,12,11,14.090909090909092,0.917,0,0.023
Graduate,Journalism & Communication,Female,Single,Daytime,Yes,Yes,No,No,No,18,17-20,120.1,125.0,6,6,12.5,6,6,13.333333333333334,1.0,0,0.026
Graduate,Equinculture,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,155.1,160.0,5,5,16.4,5,5,14.6,1.0,0,0.091
Graduate,Communication Design,Female,Single,Daytime,Yes,Yes,No,No,No,20,17-20,124.5,130.0,11,11,13.818181818181818,11,11,13.454545454545457,1.0,0,0.007
Graduate,Social Service,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,126.9,144.0,6,5,10.6,6,4,10.5,0.667,0,0.419
Graduate,Management,Female,Single,Daytime,No,Yes,Yes,Yes,No,24,21-24,153.2,133.1,5,5,10.2,5,5,12.2,1.0,0,0.271
Enrolled,Social Service,Female,Single,Daytime,No,Yes,No,No,No,20,17-20,129.8,148.0,6,5,10.6,6,4,10.4,0.667,0,0.445
Dropout,Social Service (evening),Female,Single,Evening,No,Yes,No,No,No,27,25-29,135.0,133.1,10,9,11.444444444444445,11,5,10.8,0.455,1,0.905
Enrolled,Basic Education,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,131.3,133.0,6,5,14.333333333333334,8,8,12.625,1.0,0,0.109
Graduate,Social Service,Female,Single,Daytime,Yes,Yes,No,No,No,23,21-24,125.2,129.0,16,16,13.0,13,13,13.266666666666667,1.0,0,0.015
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,141.3,144.0,8,8,13.31,8,8,13.31,1.0,0,0.004
Graduate,Social Service,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,117.1,120.0,6,5,10.571428571428571,6,5,12.2,0.833,0,0.085
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,20,17-20,126.5,144.0,8,7,13.487142857142857,8,7,13.487142857142857,0.875,0,0.033
Graduate,Tourism,Female,Single,Daytime,Yes,Yes,No,No,No,20,17-20,120.1,132.0,6,6,12.333333333333334,6,6,11.833333333333334,1.0,0,0.022
Dropout,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,No,No,23,21-24,128.4,142.0,6,6,11.875,6,5,12.833333333333334,0.833,1,0.125
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,140.0,136.0,7,6,13.966666666666669,7,6,13.966666666666669,0.857,0,0.087
Dropout,Tourism,Female,Single,Daytime,No,No,No,Yes,No,28,25-29,110.0,133.1,5,0,0.0,5,0,0.0,0.0,1,1.0
Graduate,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,Yes,No,21,21-24,116.8,122.0,5,4,11.5,5,5,12.8,1.0,0,0.127
Dropout,Oral Hygiene,Female,Single,Daytime,No,Yes,No,Yes,No,21,21-24,104.5,133.1,2,2,12.5,7,0,0.0,0.0,1,0.998
Dropout,Nursing,Female,Single,Daytime,No,Yes,No,No,No,28,25-29,140.0,140.0,7,0,0.0,8,0,0.0,0.0,1,0.999
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,No,No,18,17-20,113.2,117.0,7,6,11.98,8,7,13.225,0.875,0,0.156
Enrolled,Social Service,Female,Single,Daytime,Yes,Yes,No,Yes,No,21,21-24,118.6,128.0,6,5,13.2,6,5,11.8,0.833,0,0.052
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,123.8,136.0,7,6,11.614285714285714,8,8,14.0375,1.0,0,0.034
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,126.7,141.0,8,7,14.314285714285717,8,7,14.314285714285717,0.875,0,0.039
Dropout,Nursing,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,133.8,130.0,7,0,0.0,8,0,0.0,0.0,1,0.999
Enrolled,Veterinary Nursing,Female,Single,Daytime,No,Yes,No,No,No,20,17-20,140.0,140.0,6,6,12.666666666666666,6,2,13.0,0.333,0,0.612
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,20,17-20,100.6,102.0,7,6,12.766666666666666,8,7,12.128571428571428,0.875,0,0.068
Graduate,Basic Education,Female,Single,Daytime,Yes,Yes,No,No,No,18,17-20,132.7,126.0,6,6,12.666666666666666,6,5,12.2,0.833,0,0.041
Dropout,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,106.6,125.0,6,6,11.5,6,4,10.571428571428571,0.667,1,0.641
Dropout,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,No,No,31,30-39,140.4,120.0,6,5,11.4,6,4,11.75,0.667,1,0.647
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,19,17-20,128.3,132.0,7,7,14.70625,8,8,14.4775,1.0,0,0.013
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,19,17-20,118.6,128.0,7,6,11.814285714285717,8,7,13.542857142857144,0.875,0,0.056
Graduate,Communication Design,Female,Single,Daytime,No,Yes,No,No,No,23,21-24,123.4,115.0,6,6,13.0,6,6,11.875,1.0,0,0.066
Graduate,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,124.0,125.0,6,6,14.857142857142858,6,6,13.333333333333334,1.0,0,0.046
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,121.3,137.0,7,6,12.6,7,6,12.6,0.857,0,0.125
Enrolled,Veterinary Nursing,Female,Single,Daytime,No,Yes,Yes,Yes,No,22,21-24,101.0,101.0,6,5,13.333333333333334,6,4,11.4,0.667,0,0.792
Enrolled,Basic Education,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,116.9,126.0,7,6,10.666666666666666,7,6,12.833333333333334,0.857,0,0.265
Dropout,Equinculture,Female,Single,Daytime,No,No,Yes,No,No,27,25-29,130.0,130.0,5,2,11.5,5,1,11.0,0.2,1,0.997
Dropout,Oral Hygiene,Female,Single,Daytime,No,Yes,No,No,No,29,25-29,120.0,100.0,7,1,10.0,7,0,0.0,0.0,1,0.999
Graduate,Tourism,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,130.4,122.0,6,5,11.8,6,5,12.2,0.833,0,0.23
Graduate,Communication Design,Female,Single,Daytime,No,Yes,No,No,No,18,17-20,118.7,126.0,6,5,11.8,6,6,12.666666666666666,1.0,0,0.074
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,No,No,18,17-20,131.5,128.0,8,8,12.77125,8,8,12.77125,1.0,0,0.009
Enrolled,Veterinary Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,120.4,134.0,5,3,11.333333333333334,5,5,12.6,1.0,0,0.172
Graduate,Tourism,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,129.1,128.0,6,6,12.666666666666666,6,5,14.6,0.833,0,0.099
Enrolled,Communication Design,Female,Single,Daytime,No,No,No,No,No,18,17-20,132.0,125.0,6,5,12.2,6,4,10.833333333333334,0.667,0,0.884
Dropout,Veterinary Nursing,Female,Single,Daytime,No,No,No,No,No,28,25-29,130.0,130.0,5,1,12.0,4,0,0.0,0.0,1,0.999
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,132.8,135.0,8,7,11.721428571428572,8,7,11.721428571428572,0.875,0,0.054
Enrolled,Nursing,Female,Single,Daytime,No,Yes,No,No,No,27,25-29,143.7,133.1,7,4,14.0,7,3,12.525,0.429,0,0.748
Enrolled,Biofuel Production Tech,Female,Single,Daytime,No,Yes,No,No,No,26,25-29,152.8,140.0,7,7,14.75,7,5,13.8,0.714,0,0.027
Graduate,Journalism & Communication,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,133.5,138.0,6,6,12.666666666666666,6,6,13.666666666666666,1.0,0,0.054
Dropout,Equinculture,Female,Single,Daytime,No,Yes,No,No,No,18,17-20,146.2,150.0,5,4,13.0,5,5,14.0,1.0,1,0.055
Dropout,Management,Female,Single,Daytime,No,Yes,No,No,No,21,21-24,115.2,125.0,5,0,0.0,5,0,0.0,0.0,1,0.998
Enrolled,Communication Design,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,120.7,121.0,6,4,10.75,6,0,0.0,0.0,0,0.993
Dropout,Social Service (evening),Female,Married,Evening,No,No,No,No,No,32,30-39,101.8,120.0,5,0,0.0,5,0,0.0,0.0,1,0.999
Graduate,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,No,No,28,25-29,100.0,140.0,5,4,12.5,5,4,11.75,0.8,0,0.353
Dropout,Management (evening),Female,Single,Evening,No,No,No,No,No,40,40+,121.9,100.0,4,0,0.0,5,0,0.0,0.0,1,1.0
Dropout,Social Service (evening),Female,Married,Evening,No,No,Yes,No,No,39,30-39,120.4,140.0,5,0,0.0,4,0,0.0,0.0,1,1.0
Dropout,Social Service,Female,Married,Daytime,No,No,Yes,No,No,39,30-39,120.4,140.0,6,0,0.0,6,0,0.0,0.0,1,1.0
Graduate,Agronomy,Female,Married,Daytime,No,Yes,No,No,No,50,40+,148.8,120.0,6,6,12.5,6,5,12.4,0.833,0,0.203
Dropout,Basic Education,Female,Single,Daytime,No,Yes,No,Yes,No,23,21-24,123.0,138.0,6,5,12.8,6,3,11.666666666666666,0.5,1,0.739
Dropout,Social Service (evening),Female,Divorced,Evening,No,Yes,No,No,No,48,40+,100.0,133.1,6,1,10.0,6,1,11.0,0.167,1,0.983
Dropout,Basic Education,Female,Single,Daytime,No,Yes,No,Yes,No,23,21-24,112.1,118.0,6,4,11.25,6,5,10.2,0.833,1,0.414
Graduate,Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,126.8,135.0,8,7,12.61,8,7,12.61,0.875,0,0.054
Graduate,Equinculture,Female,Single,Daytime,No,Yes,No,No,No,18,17-20,115.9,130.0,5,2,12.0,5,5,12.6,1.0,0,0.201
Graduate,Social Service,Female,Single,Daytime,No,No,No,Yes,Yes,20,17-20,132.5,150.0,6,5,13.0,6,6,13.5,1.0,0,0.188
Graduate,Veterinary Nursing,Female,Single,Daytime,Yes,Yes,No,Yes,Yes,18,17-20,132.2,149.0,5,4,12.0,5,5,13.0,1.0,0,0.418
Dropout,Oral Hygiene,Female,Single,Daytime,No,Yes,No,Yes,Yes,18,17-20,183.5,180.0,7,4,12.0,8,0,0.0,0.0,1,1.0
Dropout,Informatics Engineering,Male,Single,Daytime,No,Yes,No,No,No,31,30-39,136.0,133.1,5,1,12.0,5,1,11.0,0.2,1,0.983
Enrolled,Informatics Engineering,Male,Single,Daytime,No,Yes,No,Yes,No,24,21-24,100.9,133.1,5,1,12.0,5,3,10.5,0.6,0,0.94
Graduate,Animation & Multimedia Design,Male,Single,Daytime,No,Yes,No,Yes,No,24,21-24,114.5,145.0,0,0,0.0,0,0,0.0,,0,0.64
Dropout,Management,Male,Single,Daytime,No,No,Yes,No,No,26,25-29,110.3,110.0,5,0,0.0,5,0,0.0,0.0,1,1.0
Dropout,Equinculture,Male,Single,Daytime,No,Yes,Yes,Yes,No,18,17-20,137.2,154.0,6,5,13.625,6,4,11.75,0.667,1,0.856
Enrolled,Management,Male,Single,Daytime,Yes,Yes,No,No,No,19,17-20,116.9,126.0,5,3,11.666666666666666,5,3,11.666666666666666,0.6,0,0.575
Dropout,Advertising & Marketing,Male,Single,Daytime,No,Yes,No,Yes,No,22,21-24,121.8,133.0,6,0,0.0,6,0,0.0,0.0,1,0.999
Graduate,Nursing,Male,Single,Daytime,No,Yes,No,Yes,No,18,17-20,127.3,145.0,8,7,11.69,8,7,11.69,0.875,0,0.125
Dropout,Communication Design,Male,Single,Daytime,No,No,Yes,No,No,20,17-20,120.0,120.0,6,0,0.0,6,0,0.0,0.0,1,0.997
Graduate,Animation & Multimedia Design,Male,Single,Daytime,No,Yes,No,No,No,25,25-29,150.0,150.0,0,0,0.0,0,0,0.0,,0,0.394
Graduate,Management (evening),Male,Single,Evening,No,Yes,No,Yes,No,24,21-24,100.0,150.0,5,4,11.5,5,5,11.285714285714286,1.0,0,0.513
Dropout,Informatics Engineering,Male,Single,Daytime,No,Yes,No,Yes,No,27,25-29,150.0,150.0,5,1,14.0,5,0,0.0,0.0,1,0.999
Graduate,Tourism,Male,Single,Daytime,No,Yes,No,No,No,21,21-24,116.9,127.0,6,5,11.0,6,5,12.4,0.833,0,0.225
Graduate,Agronomy,Male,Single,Daytime,No,Yes,No,Yes,No,21,21-24,140.0,140.0,6,6,12.857142857142858,6,6,13.166666666666666,1.0,0,0.046
Dropout,Journalism & Communication,Male,Single,Daytime,No,Yes,No,Yes,No,19,17-20,122.1,128.0,6,4,12.5,6,6,11.333333333333334,1.0,1,0.36
Graduate,Nursing,Male,Single,Daytime,No,Yes,No,No,No,28,25-29,160.0,127.0,7,7,14.528571428571428,8,8,15.018181818181818,1.0,0,0.043
Enrolled,Management,Male,Single,Daytime,No,Yes,No,No,No,20,17-20,118.4,117.0,5,5,10.0,5,2,12.0,0.4,0,0.525
Graduate,Agronomy,Male,Single,Daytime,Yes,Yes,No,No,No,21,21-24,150.0,150.0,6,6,13.0,6,6,12.625,1.0,0,0.019
Graduate,Nursing,Male,Single,Daytime,Yes,Yes,No,No,No,18,17-20,144.9,154.0,7,7,15.957142857142856,8,8,15.188888888888888,1.0,0,0.015
Enrolled,Informatics Engineering,Male,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,121.1,127.0,5,5,13.2,5,5,12.6,1.0,0,0.092
Enrolled,Management,Male,Single,Daytime,No,Yes,No,No,No,20,17-20,121.8,133.0,5,4,10.2,5,3,11.0,0.6,0,0.631
Enrolled,Informatics Engineering,Male,Single,Daytime,No,Yes,No,No,No,25,25-29,146.8,120.0,5,5,14.2,5,2,13.5,0.4,0,0.677
Enrolled,Advertising & Marketing,Male,Single,Daytime,No,Yes,Yes,No,No,22,21-24,138.0,133.1,6,6,12.625,6,2,14.5,0.333,0,0.875
Enrolled,Nursing,Male,Single,Daytime,No,Yes,No,No,No,18,17-20,138.0,149.0,8,6,13.496666666666668,8,6,13.496666666666668,0.75,0,0.138
Graduate,Management,Male,Single,Daytime,No,Yes,No,Yes,No,19,17-20,116.3,125.0,5,5,13.25,5,5,11.0,1.0,0,0.218
Dropout,Informatics Engineering,Male,Single,Daytime,No,Yes,No,Yes,No,19,17-20,122.5,126.0,5,3,12.0,5,3,12.0,0.6,1,0.84
Dropout,Journalism & Communication,Male,Single,Daytime,No,No,Yes,Yes,No,25,25-29,115.0,133.1,6,4,13.0,6,4,13.75,0.667,1,0.988
Dropout,Communication Design,Male,Single,Daytime,No,Yes,Yes,No,No,21,21-24,115.0,115.0,11,9,11.77777777777778,8,3,13.666666666666666,0.375,1,0.969
Dropout,Informatics Engineering,Male,Single,Daytime,No,Yes,No,Yes,No,19,17-20,119.8,117.0,5,2,11.0,6,0,0.0,0.0,1,0.999
Dropout,Management,Male,Single,Daytime,No,Yes,No,No,No,20,17-20,95.0,133.1,5,0,0.0,5,0,0.0,0.0,1,0.998
Dropout,Agronomy,Male,Single,Daytime,No,Yes,No,No,No,25,25-29,150.0,150.0,14,14,12.428571428571429,9,6,10.857142857142858,0.667,1,0.201
Enrolled,Management,Male,Single,Daytime,No,Yes,No,Yes,No,20,17-20,117.8,130.0,5,3,11.0,5,3,12.0,0.6,0,0.824
Graduate,Animation & Multimedia Design,Male,Single,Daytime,No,Yes,No,Yes,No,18,17-20,144.2,161.0,0,0,0.0,0,0,0.0,,0,0.443
Enrolled,Tourism,Male,Single,Daytime,No,Yes,Yes,Yes,No,23,21-24,130.0,130.0,6,3,11.5,6,3,10.666666666666666,0.5,0,0.869
Graduate,Nursing,Male,Single,Daytime,No,Yes,No,Yes,No,23,21-24,128.2,111.0,8,8,12.5075,8,8,12.5075,1.0,0,0.03
Graduate,Agronomy,Male,Single,Daytime,No,Yes,No,No,No,21,21-24,135.3,140.0,12,11,12.090909090909092,12,11,12.0,0.917,0,0.014
Enrolled,Equinculture,Male,Single,Daytime,No,Yes,No,Yes,No,20,17-20,143.9,132.0,5,2,11.0,5,3,12.666666666666666,0.6,0,0.69
Dropout,Management (evening),Male,Single,Evening,No,Yes,No,No,No,25,25-29,140.7,139.0,5,1,10.0,5,2,11.333333333333334,0.4,1,0.976
Graduate,Equinculture,Male,Single,Daytime,No,Yes,No,Yes,No,18,17-20,130.4,132.0,6,6,13.5,6,5,13.2,0.833,0,0.134
Graduate,Communication Design,Male,Single,Daytime,No,Yes,No,Yes,No,22,21-24,123.2,119.0,6,6,14.166666666666666,6,6,13.625,1.0,0,0.095
Graduate,Advertising & Marketing,Male,Single,Daytime,No,Yes,No,No,No,27,25-29,118.0,133.1,6,6,14.0,6,6,14.714285714285714,1.0,0,0.081
Dropout,Agronomy,Male,Single,Daytime,No,Yes,No,No,No,25,25-29,120.0,133.1,3,0,0.0,3,0,0.0,0.0,1,0.99
Dropout,Informatics Engineering,Male,Single,Daytime,No,Yes,No,Yes,No,18,17-20,118.9,129.0,5,3,11.666666666666666,5,3,11.333333333333334,0.6,1,0.591
Graduate,Veterinary Nursing,Male,Single,Daytime,No,Yes,No,No,No,20,17-20,117.2,128.0,5,5,14.6,5,5,14.2,1.0,0,0.081
Graduate,Agronomy,Male,Single,Daytime,No,Yes,No,No,No,27,25-29,120.0,120.0,6,5,13.0,6,5,11.5,0.833,0,0.47
Graduate,Social Service (evening),Male,Single,Evening,No,Yes,No,No,No,20,17-20,118.1,130.0,6,6,12.166666666666666,6,6,12.0,1.0,0,0.039
Dropout,Management,Male,Single,Daytime,No,Yes,No,Yes,No,22,21-24,124.8,130.0,5,0,0.0,5,1,12.0,0.2,1,0.972
Dropout,Informatics Engineering,Male,Single,Daytime,No,Yes,No,Yes,No,19,17-20,106.5,111.0,5,3,10.5,5,3,10.8,0.6,1,0.885
Enrolled,Management,Male,Single,Daytime,No,Yes,No,No,No,20,17-20,116.8,121.0,5,3,12.4,5,5,10.833333333333334,1.0,0,0.466
Graduate,Animation & Multimedia Design,Male,Single,Daytime,No,Yes,No,No,No,19,17-20,109.3,117.0,0,0,0.0,0,0,0.0,,0,0.513
Dropout,Veterinary Nursing,Male,Married,Daytime,No,No,No,Yes,No,29,25-29,120.0,133.1,5,0,0.0,5,0,0.0,0.0,1,0.999
Graduate,Nursing,Male,Single,Daytime,No,Yes,No,No,No,19,17-20,137.5,149.0,8,7,13.828571428571427,8,7,13.828571428571427,0.875,0,0.071
Enrolled,Management (evening),Female,Single,Evening,Yes,Yes,No,Yes,No,28,25-29,150.0,172.0,5,5,10.6,5,5,10.2,1.0,0,0.072
Graduate,Social Service,Female,Married,Daytime,No,Yes,No,No,No,20,17-20,120.4,134.0,6,6,11.5,6,6,11.666666666666666,1.0,0,0.024
Graduate,Communication Design,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,136.7,136.0,6,4,13.5,6,6,13.625,1.0,0,0.157
Dropout,Social Service (evening),Female,Single,Evening,No,Yes,No,Yes,No,31,30-39,118.5,133.1,6,0,0.0,6,0,0.0,0.0,1,0.999
Graduate,Nursing,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,133.0,141.0,7,7,12.5375,8,7,12.614285714285714,0.875,0,0.099
Enrolled,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,128.8,141.0,6,6,14.833333333333334,6,6,13.285714285714286,1.0,0,0.061
Graduate,Management,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,133.0,148.0,5,4,12.0,5,4,12.8,0.8,0,0.36
Graduate,Tourism,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,102.0,102.0,6,5,11.8,6,5,11.6,0.833,0,0.172
Graduate,Management,Female,Single,Daytime,Yes,Yes,No,No,No,18,17-20,133.9,143.0,5,5,15.0,5,5,15.2,1.0,0,0.023
Graduate,Veterinary Nursing,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,127.0,120.0,5,3,12.0,5,5,13.2,1.0,0,0.103
Graduate,Journalism & Communication,Female,Single,Daytime,Yes,Yes,No,Yes,No,18,17-20,120.4,121.0,6,6,12.833333333333334,6,6,12.285714285714286,1.0,0,0.033
Graduate,Tourism,Female,Single,Daytime,No,Yes,No,Yes,No,19,17-20,124.5,122.0,6,6,11.666666666666666,6,3,12.0,0.5,0,0.425
Graduate,Oral Hygiene,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,123.9,122.0,7,7,12.1625,8,8,13.825,1.0,0,0.025
Graduate,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,Yes,No,18,17-20,117.8,123.0,6,6,13.833333333333334,6,6,14.555555555555555,1.0,0,0.063
Enrolled,Nursing,Female,Single,Daytime,No,Yes,No,No,No,19,17-20,126.7,133.0,7,4,12.45,7,5,11.7,0.714,0,0.585
Graduate,Advertising & Marketing,Female,Single,Daytime,Yes,Yes,No,No,No,20,17-20,110.0,110.0,6,6,12.125,6,6,13.571428571428571,1.0,0,0.029
Enrolled,Advertising & Marketing,Female,Single,Daytime,No,Yes,No,Yes,No,20,17-20,134.7,155.0,6,5,13.4,6,4,13.0,0.667,0,0.429
Enrolled,Agronomy,Female,Single,Daytime,No,Yes,Yes,No,No,20,17-20,113.2,119.0,6,6,13.333333333333334,6,5,14.0,0.833,0,0.241
Dropout,Management (evening),Female,Single,Evening,No,Yes,No,No,No,29,25-29,141.0,120.0,15,11,11.454545454545457,13,11,11.545454545454543,0.846,1,0.466
Dropout,Basic Education,Female,Single,Daytime,Yes,No,No,No,No,20,17-20,111.5,133.1,6,4,12.0,6,3,10.0,0.5,1,0.95
